;Booking_ID;number of adults;number of children;number of weekend nights;number of week nights;type of meal;car parking space;room type;lead time;market segment type;repeated;P-C;P-not-C;average price;special requests;booking status;date;day;month;year
0;INN00001;1;1;2;5;Meal Plan 1;0;Room_Type 1;224;Offline;0;0;0;88.0;0;0;2015-10-02;2;10;2015
1;INN00002;1;0;1;3;Not Selected;0;Room_Type 1;5;Online;0;0;0;106.68;1;0;2018-11-06;6;11;2018
2;INN00003;2;1;1;3;Meal Plan 1;0;Room_Type 1;1;Online;0;0;0;50.0;0;1;2018-02-28;28;2;2018
3;INN00004;1;0;0;2;Meal Plan 1;0;Room_Type 1;211;Online;0;0;0;100.0;1;1;2017-05-20;20;5;2017
4;INN00005;1;0;1;2;Not Selected;0;Room_Type 1;48;Online;0;0;0;77.0;0;1;2018-04-11;11;4;2018
5;INN00006;1;0;0;2;Meal Plan 2;0;Room_Type 1;346;Offline;0;0;0;100.0;1;1;2016-09-13;13;9;2016
6;INN00007;1;1;1;4;Meal Plan 1;0;Room_Type 1;34;Online;0;0;0;107.55;1;0;2017-10-15;15;10;2017
7;INN00008;3;0;1;3;Meal Plan 1;0;Room_Type 4;83;Online;0;0;0;105.61;1;0;2018-12-26;26;12;2018
8;INN00009;1;1;0;4;Meal Plan 1;0;Room_Type 1;121;Offline;0;0;0;96.9;1;0;2018-07-06;6;7;2018
9;INN00010;2;0;0;5;Meal Plan 1;0;Room_Type 4;44;Online;0;0;0;133.44;3;0;2018-10-18;18;10;2018
10;INN00011;1;0;1;0;Not Selected;0;Room_Type 1;0;Online;0;0;0;85.03;0;0;2018-09-11;11;9;2018
11;INN00012;1;0;2;1;Meal Plan 1;0;Room_Type 4;35;Online;0;0;0;140.4;1;0;2018-04-30;30;4;2018
12;INN00013;2;0;2;1;Not Selected;0;Room_Type 1;30;Online;0;0;0;88.0;0;1;2018-11-26;26;11;2018
13;INN00014;1;0;2;0;Meal Plan 1;0;Room_Type 1;95;Online;0;0;0;90.0;2;1;2018-11-20;20;11;2018
14;INN00015;2;0;0;2;Meal Plan 1;0;Room_Type 1;47;Online;0;0;0;94.5;2;0;2017-10-20;20;10;2017
15;INN00016;2;0;0;2;Meal Plan 2;0;Room_Type 1;256;Online;0;0;0;115.0;1;1;2018-06-15;15;6;2018
16;INN00017;1;0;1;0;Meal Plan 1;0;Room_Type 1;0;Offline;0;0;0;96.0;0;0;2017-10-05;5;10;2017
17;INN00018;2;0;1;3;Not Selected;0;Room_Type 1;1;Online;0;0;0;96.0;1;0;2017-08-10;10;8;2017
18;INN00019;2;0;2;2;Meal Plan 1;0;Room_Type 1;99;Online;0;0;0;65.0;0;1;2017-10-30;30;10;2017
19;INN00020;2;0;1;0;Meal Plan 1;0;Room_Type 1;12;Offline;0;0;0;72.0;0;0;2017-10-04;4;10;2017
20;INN00021;2;0;2;2;Meal Plan 1;0;Room_Type 1;99;Online;0;0;0;65.0;0;1;2017-10-30;30;10;2017
21;INN00022;1;0;0;1;Meal Plan 1;0;Room_Type 1;122;Corporate;0;0;0;67.0;0;0;2018-11-25;25;11;2018
22;INN00023;2;0;2;4;Meal Plan 1;0;Room_Type 1;2;Offline;0;0;0;85.0;0;0;2018-03-20;20;3;2018
23;INN00024;2;0;0;3;Meal Plan 1;0;Room_Type 1;37;Offline;0;0;0;105.0;0;0;2018-10-13;13;10;2018
24;INN00025;2;0;2;1;Not Selected;0;Room_Type 1;130;Online;0;0;0;94.5;1;0;2018-05-22;22;5;2018
25;INN00026;2;0;0;2;Meal Plan 1;0;Room_Type 1;99;Online;0;0;0;114.3;1;0;2018-04-28;28;4;2018
26;INN00027;2;0;1;1;Meal Plan 1;0;Room_Type 1;60;Offline;0;0;0;65.0;0;0;2017-09-21;21;9;2017
27;INN00028;1;0;0;2;Meal Plan 1;0;Room_Type 4;2;Aviation;0;0;0;110.0;0;1;2018-05-19;19;5;2018
28;INN00029;1;0;1;2;Meal Plan 1;0;Room_Type 1;37;Online;0;0;0;37.33;0;1;2017-11-06;6;11;2017
29;INN00030;2;0;0;2;Meal Plan 2;0;Room_Type 1;56;Offline;0;0;0;82.0;0;0;2017-09-17;17;9;2017
30;INN00031;2;0;1;1;Meal Plan 1;0;Room_Type 4;3;Online;0;0;0;177.5;1;0;2017-09-19;19;9;2017
31;INN00032;2;0;2;2;Meal Plan 1;0;Room_Type 1;107;Online;0;0;0;87.5;1;0;2018-11-13;13;11;2018
32;INN00033;0;2;0;3;Meal Plan 1;0;Room_Type 2;56;Online;0;0;0;82.44;1;0;2018-12-07;7;12;2018
33;INN00034;2;0;0;1;Not Selected;0;Room_Type 1;2;Online;0;0;0;69.5;1;0;2018-01-09;9;1;2018
34;INN00035;2;0;0;2;Meal Plan 1;0;Room_Type 1;72;Offline;0;0;0;85.5;0;0;2018-10-07;7;10;2018
35;INN00036;2;0;0;1;Not Selected;1;Room_Type 1;23;Online;0;0;0;115.0;1;0;2018-04-27;27;4;2018
36;INN00037;1;0;2;1;Meal Plan 1;0;Room_Type 1;34;Online;0;0;0;81.0;0;1;2018-06-19;19;6;2018
37;INN00038;2;0;0;1;Meal Plan 1;0;Room_Type 1;289;Offline;0;0;0;67.0;0;0;2017-10-17;17;10;2017
38;INN00039;2;0;2;3;Not Selected;0;Room_Type 1;247;Online;0;0;0;63.75;0;1;2018-11-19;19;11;2018
39;INN00040;2;0;2;1;Meal Plan 1;0;Room_Type 4;186;Online;0;0;0;121.8;1;1;2018-07-30;30;7;2018
